wavenumber,transmittance
2216.0549, 0.979999868
2215.93432621, 0.981300072
2215.813796775, 0.979200171
2215.69326734, 0.975499832
2215.572737905, 0.978700012
2215.45220847, 0.980300102
2215.331679034, 0.975499832
2215.211311832, 0.9723
2215.090782397, 0.970599947
2214.970252962, 0.974800097
2214.849723527, 0.982000155
2214.729194091, 0.976199915
2214.608664656, 0.968400085
2214.488135221, 0.973200007
2214.367605786, 0.978700012
2214.247076351, 0.977299846
2214.126546916, 0.977999929
2214.006017481, 0.978300164
2213.885488045, 0.978199853
2213.76495861, 0.979400095
2213.644429175, 0.97860005
2213.52389974, 0.982400003
2213.403532538, 0.988199895
2213.283003102, 0.985299949
2213.162473667, 0.96920013
2213.041944232, 0.963499852
2212.921414797, 0.973399931
2212.800885362, 0.975700104
2212.680355927, 0.973800128
2212.559826492, 0.975199946
2212.439297057, 0.975499832
2212.318767621, 0.967099881
2212.198238186, 0.965199904
2212.077708751, 0.974499863
2211.957179316, 0.976899998
2211.836649881, 0.977299846
2211.716120446, 0.979500057
2211.595207004, 0.98009983
2211.474677569, 0.976700074
2211.354148134, 0.973299969
2211.233618699, 0.973499893
2211.113089263, 0.971699879
2210.992559828, 0.971900151
2210.872030393, 0.970100137
2210.751500958, 0.971200068
2210.630971523, 0.982900162
2210.510442088, 0.981799882
2210.389912653, 0.971100106
2210.269383217, 0.967999888
2210.148853782, 0.976099953
2210.028324347, 0.979799944
2209.907794912, 0.973200007
2209.787344062, 0.971799841
2209.666814627, 0.947300071
2209.546285192, 0.925400012
2209.425755757, 0.943700042
2209.305226322, 0.961000103
2209.184696887, 0.97130003
2209.064167451, 0.981499996
2208.943638016, 0.984699828
2208.823108581, 0.986499842
2208.702579146, 0.982900162
2208.582049711, 0.977999929
2208.461520276, 0.98009983
2208.340990841, 0.978799974
2208.220461406, 0.976399839
2208.100010556, 0.983900131
2207.97948112, 0.988600091
2207.858951685, 0.980999837
2207.73842225, 0.973100045
2207.617892815, 0.975000021
2207.49736338, 0.981400034
2207.376833945, 0.983499935
2207.25630451, 0.980699951
2207.135775075, 0.978700012
2207.015245639, 0.973100045
2206.894716204, 0.967799964
2206.774186769, 0.970899834
2206.653657334, 0.973499893
2206.533127899, 0.979099861
2206.412403929, 0.977500119
2206.291874494, 0.963800087
2206.171345059, 0.964399859
2206.050815624, 0.974700135
2205.930286189, 0.979600019
2205.809756754, 0.977600081
2205.689227318, 0.974700135
2205.568697883, 0.976399839
2205.448168448, 0.979099861
2205.327639013, 0.98330001
2205.207109578, 0.980300102
2205.086580143, 0.973399931
2204.966050708, 0.977600081
2204.845521273, 0.979600019
2204.72515407, 0.972200038
2204.604624635, 0.971799841
2204.4840952, 0.973399931
2204.363565765, 0.971200068
2204.24303633, 0.973100045
2204.122506894, 0.978999899
2204.001977459, 0.983900131
2203.881448024, 0.977500119
2203.760918589, 0.969300092
2203.640389154, 0.967899926
2203.519859719, 0.969599978
2203.399330284, 0.97860005
2203.278800849, 0.982699889
2203.158271413, 0.978199853
2203.037741978, 0.978199853
2202.917207481, 0.977600081
2202.796678046, 0.975800066
2202.676148611, 0.976500149
2202.555619176, 0.975999991
2202.43508974, 0.98429998
2202.314560305, 0.986499842
2202.19403087, 0.971399993
2202.073501435, 0.928100033
2201.952972, 0.893499911
2201.832442565, 0.927100064
2201.71191313, 0.96190011
2201.591383695, 0.971100106
2201.470854259, 0.978799974
2201.35013029, 0.983499935
2201.229600855, 0.981599958
2201.10907142, 0.97699996
2200.988541984, 0.982799852
2200.868012549, 0.976099953
2200.747483114, 0.965800025
2200.626953679, 0.96809985
2200.506424244, 0.975099983
2200.385894809, 0.973599855
2200.265365374, 0.967700002
2200.144835938, 0.968799933
2200.024306503, 0.976199915
2199.903777068, 0.983900131
2199.783247633, 0.975099983
2199.663069903, 0.968500047
2199.542540468, 0.969799902
2199.422011033, 0.970899834
2199.301481597, 0.973200007
2199.180952162, 0.973800128
2199.060422727, 0.969599978
2198.939893292, 0.974100014
2198.819363857, 0.976199915
2198.698834422, 0.954400166
2198.578304987, 0.950000092
2198.457775552, 0.962000072
2198.337246116, 0.971599917
2198.216716681, 0.980799913
2198.096187246, 0.988099933
2197.975273804, 0.994000135
2197.854744369, 0.990799954
2197.734214934, 0.980899875
2197.613685499, 0.972699848
2197.493156064, 0.974299938
2197.372626629, 0.977299846
2197.252097194, 0.975199946
2197.131567758, 0.969300092
2197.011038323, 0.969899864
2196.890508888, 0.975000021
2196.769979453, 0.976700074
2196.649450018, 0.977299846
2196.528920583, 0.977099922
2196.408391148, 0.979300133
2196.287861712, 0.981400034
2196.16749451, 0.980799913
2196.046965075, 0.973399931
2195.92643564, 0.975199946
2195.805906205, 0.980400065
2195.685376769, 0.977500119
2195.564847334, 0.971200068
2195.444317899, 0.97130003
2195.323788464, 0.97860005
2195.203259029, 0.980699951
2195.082729594, 0.980899875
2194.962200159, 0.970100137
2194.841670724, 0.965500139
2194.721141288, 0.966500108
2194.600611853, 0.96809985
2194.480082418, 0.972699848
2194.359547921, 0.975999991
2194.239018486, 0.943999928
2194.118489051, 0.863500136
2193.997959615, 0.872700132
2193.87743018, 0.950399941
2193.756900745, 0.97069991
2193.63637131, 0.970400023
2193.515841875, 0.981300072
2193.39531244, 0.985299949
2193.274783005, 0.971799841
2193.15425357, 0.965500139
2193.033724134, 0.973399931
2192.913194699, 0.979999868
2192.792827497, 0.979400095
2192.672298062, 0.981400034
2192.551768627, 0.985800108
2192.431239191, 0.982499965
2192.310709756, 0.982699889
2192.190180321, 0.979200171
2192.069650886, 0.969300092
2191.949121451, 0.96760004
2191.828592016, 0.975800066
2191.708062581, 0.977999929
